line_type	tag	concordant_site_freq	num_introgressed_1	num_introgressed_0	seq_ids_('par', 'bay')	seq_ids_('par', 'par')	seq_ids_('cer', 'cer')	seq_ids_('cer', 'bay')	seq_ids_('bay', 'bay')	seq_ids_('cer', 'par')	concordant_tree_frac
bs_lower	s28	0.43265118	50000.0	50000.0	0.58282054	NA	0.99451788	0.58277919	NA	0.99324491	0.438946030116
bs_upper	s28	0.48949796	50000.0	50000.0	0.58325972	NA	0.99498644	0.58333989	NA	0.99367132	0.495514824254
mean	s29	0.4515237	50000.0	50000.0	0.58307822	NA	0.99457262	0.58308217	NA	0.99340049	0.452041987697
std_err	s29	0.0136838755731	0.0	0.0	0.000115401172707	NA	0.000136545187113	0.000115055661296	NA	0.000101366861945	0.0136694883101
bs_lower	s29	0.42616624	50000.0	50000.0	0.58286448	NA	0.99426774	0.58283106	NA	0.99321987	0.422811965082
bs_upper	s29	0.47463874	50000.0	50000.0	0.58330386	NA	0.99482394	0.58335156	NA	0.99357172	0.480771026276
mean	s30	0.44840084	50000.0	50000.0	0.58315102	NA	0.99464822	0.58315063	NA	0.99329497	0.449181035543
std_err	s30	0.013540554425	0.0	0.0	0.000108235374328	NA	0.000136613320108	0.000107999932818	NA	0.000111583163611	0.0135424065526
bs_lower	s30	0.41971154	50000.0	50000.0	0.58290098	NA	0.9943489	0.58287962	NA	0.99309558	0.426109642196
bs_upper	s30	0.47151686	50000.0	50000.0	0.58332738	NA	0.99485854	0.58337018	NA	0.99351651	0.47560549859
mean	s31	0.47869178	50000.0	50000.0	0.5830426	NA	0.99489466	0.58303507	NA	0.99348577	0.478355459324
std_err	s31	0.0136245312874	0.0	0.0	0.000113724076631	NA	0.000129405344664	0.00011303607012	NA	0.000102140689872	0.0136135612929
bs_lower	s31	0.4548601	50000.0	50000.0	0.58282584	NA	0.9946135	0.58282574	NA	0.99326411	0.447222000775
bs_upper	s31	0.50785484	50000.0	50000.0	0.58324164	NA	0.99512596	0.58321215	NA	0.99362839	0.503718451055
